Match Score,NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Total Cost by IC,FY Total Cost (Sub Projects),
"812",No NIH Category available.,"Adolescence;Adolescent;Age;Agonist;Alcohol or Other Drugs use;Anxiety;base;Behavior;Birth;Bone Density;bone health;Boston;California;Caring;Characteristics;Chicago;Child;Clinic;Clinical;clinical care;clinical practice;Clinical Practice Guideline;cohort;community center;Country;Data;Depression and Suicide;depressive symptoms;Development;Distress;Electrolytes;Enzymes;evidence base;Exhibits;experience;Fasting;Feminine;follow up assessment;Gender;gender dysphoria;Gender Identity;gender transition;Glucose;Glycosylated hemoglobin A;Goals;Gonadal Steroid Hormones;Gonadotropin Hormone Releasing Hormone;Guidelines;Health;Hemoglobin;HIV;HIV Infections;Hormonal;Hormone use;Hormones;Individual;Institute of Medicine (U.S.);Insulin;Intervention;Knowledge;Lesbian Gay Bisexual Transgender;Lipids;Liver;Los Angeles;Masculine;Medical;Mental Depression;Mental Health;Metabolic;Multicenter Studies;Observational Study;Outcome;Patients;Pediatric Hospitals;peer;Phenotype;Physiological;Population;Psyche structure;psychosocial;Puberty;public health relevance;Quality of life;Recommendation;recruit;reduce symptoms;Reporting;Research;Risk;Safety;San Francisco;Self-Injurious Behavior;sex;Sex Characteristics;sexual risk behavior;Site;Specific qualifier value;Suicide;Time;transgender;transgender women;trauma symptom;Treatment Protocols;Treatment/Psychosocial Effects;United States;Universities;Well in self;Youth;","The Impact of Early Medical Treatment in Transgender Youth","PUBLIC HEALTH RELEVANCE: The Institute of Medicine's 2011 report "The Health of Lesbian; Gay; Bisexual; and Transgender (LGBT) People;" calls for the development of evidence-based and rigorous research aimed at understanding the health implications of hormone use in transgender individuals. The goal of the proposed research is to conduct a multi-site observational study examining the physiological and psychosocial outcomes of existing medical treatment protocols for gender dysphoria in two cohorts: early pubertal and late pubertal transgender youth.","NICHD","9730239","21-JUN-2019","PA-12-111",5R01HD082554-05,5,R01,HD,082554,05,,"WINER, KAREN","1-AUG-2015","30-JUN-2020","Health, Behavior, and Context Subcommittee (CHHD-M) ",,"10480275","OLSON-KENNEDY, JOHANNA L ","CHAN, YEE-MING ;GAROFALO, ROBERT ;ROSENTHAL, STEPHEN M","28","Unavailable","052277936","US","34.098065","-118.290690","1520001","CHILDREN'S HOSPITAL OF LOS ANGELES","LOS ANGELES","CA","Independent Hospitals","90027-6062","UNITED STATES", ,"1-JUL-2019","30-JUN-2020","865",Research Projects,2019,NICHD,1111300,
"794",No NIH Category available.,"American;American Psychological Association;Area;Award;Awareness;Caring;cisgender;Client;Client satisfaction;Clinical;Clinical Skills;Collaborations;collaborative environment;Color;commercialization;Communication;Communities;Complex;Computer software;Control Groups;cost effective;Counseling;Cues;cultural competence;Dehumanization;design;Development;Discrimination;disparity reduction;Educational Materials;Educational process of instructing;Enrollment;experience;Face;Feedback;Focus Groups;Future;Gatekeeping;Gender;gender diversity;gender nonconforming;Grant;Guidelines;health care settings;health disparity;Health Personnel;Health Professional;Healthcare;help-seeking behavior;high risk;Hour;Human Resources;improved;Individual;innovation;Intake;Interruption;Knowledge;Lead;Learning;Letters;Link;Logic;maltreatment;Marketing;medically necessary care;meetings;Mental Health;mental training;Names;Outcome;Participant;Patients;Pattern;Phase;physical conditioning;Play;Positioning Attribute;Prejudice;Process;Professional Organizations;programs;psychologic;Psychology;Randomized;Randomized Controlled Trials;Recommendation;recruit;Reporting;Research;Research Project Grants;response;Role;satisfaction;Severities;simulation;skill acquisition;skills;skills training;social;Speech Recognition Software;Standardization;Students;success;Symptoms;System;Technology;tool;Training;Training Activity;transgender;Universities;Writing;","Simulated Conversation Training for Mental Healthcare Providers to Improve Care for Transgender and Gender Nonconforming Individuals.","PROJECT NARRATIVETransgender and Gender Nonconforming (TGNC) individuals experience both physical and mental healthdisparities when compared to their cisgender counterparts. The skills required to provide gender-affirming;culturally competent care require extensive practice with feedback; which is difficult to obtain. The proposedresearch will produce an innovative training tool with the potential to increase learning and retention ofknowledge; skills; awareness; and cultural competency among clinicians; thereby benefiting their TGNC clientsand reducing the disparities they experience in health care settings.","NIMHD","9796430","8-AUG-2019","RFA-MD-18-009",1R44MD014112-01,1,R44,MD,014112,01,,"DAGHER, RADA KAMIL","8-AUG-2019","31-MAR-2020","Special Emphasis Panel (ZMD1-XLN (J1))",,"8077920","OLSEN, DALE EDWARD",Not Applicable,"03","Unavailable","128822736","US","39.180768","-76.847888","10005047","SIMMERSION, LLC.","COLUMBIA","MD","Domestic For-Profits","21046-3039","UNITED STATES", ,"8-AUG-2019","31-MAR-2020","307",SBIR-STTR,2019,NIMHD,199035,
"787","Behavioral and Social Science;Clinical Research;Health Disparities;Mental Health;Minority Health;Sexual and Gender Minorities (SGM/LGBT*)","Acquired Immunodeficiency Syndrome;Acute;Address;Adolescence;Adult;Affect;Age;Age of Onset;Alcohol or Other Drugs use;Anxiety;Awareness;base;Birth;Characteristics;Childhood;Cities;cohort;Communities;coping;Data;Development;Discrimination;Distress;Domestic Violence;Education;Enrollment;Ethnic Origin;experience;family support;Feeling suicidal;Female;Feminine;follow-up;Fostering;Future;Gays;Gender;gender diversity;gender dysphoria;Gender Identity;gender nonconforming;gender variant;Goals;Health;Health Promotion;HIV;HIV Infections;Homelessness;Homosexuals;Hormone use;Imprisonment;Individual;innovation;insight;Intervention;Interview;Knowledge;Label;Lesbian;Longevity;Longitudinal Studies;male;man;Masculine;Measures;Mental Depression;Mental Health;Meta-Analysis;Methods;Minority;Modeling;Nature;New York City;Patient Self-Report;peer support;Personal Satisfaction;Persons;Population;Population Heterogeneity;Prevalence;Process;psychological distress;psychosocial adjustment;psychosocial development;public health relevance;Race;Recording of previous events;recruit;Reporting;Research;resilience;Risk;Risk Factors;Sampling;San Francisco;Series;sex;Sex Orientation;Shame;Smoking;social stigma;Social Work;Stigmatization;Stress;Stress and Coping;stress resilience;stressor;Suicide attempt;Testing;theories;Time;transgender;transgender men;transgender women;Typology;United States;Vulnerable Populations;Woman;Work;","Identity Development; Risk; and Resilience among Gender Diverse Populations","PUBLIC HEALTH RELEVANCE: Research to date has found inequities in mental health; substance use; HIV infection; and other health concerns among gender nonconforming people in the United States. This study takes a longitudinal; mixed- method approach to uncover the mechanism of how stigma and minority stress affect health and psychosocial development among this population; identifying periods of acute vulnerability and corresponding resilience. Findings will inform the development of future intervention strategies aimed at reducing stigma and promoting the health and wellbeing of this and other vulnerable populations.","NICHD","9534150","10-JUL-2018","PA-12-111",5R01HD079603-05,5,R01,HD,079603,05,,"BURES, REGINA M","25-SEP-2014","30-JUN-2020","Social Psychology, Personality and Interpersonal Processes Study Section (SPIP) ",,"6832127","BOCKTING, WALTER O.",Not Applicable,"13","Unavailable","167204994","US","40.842455","-73.944838","1590919","NEW YORK STATE PSYCHIATRIC INSTITUTE","NEW YORK","NY","Independent Hospitals","10032-1007","UNITED STATES", ,"1-JUL-2018","30-JUN-2020","865",Research Projects,2018,NICHD,556709,
"716",No NIH Category available.,"Adult;Boston;Cancer Center;cancer health disparity;cancer type;cigarette smoke;cigarette smoking;cisgender;Colon Carcinoma;Communities;Data;design;Facebook;Foundations;Gender;gender nonconforming;Head Cancer;Health Promotion;Individual;Malignant neoplasm of liver;Malignant neoplasm of lung;Malignant neoplasm of pancreas;Malignant neoplasm of urinary bladder;malignant stomach neoplasm;Massachusetts;modifiable risk;Neck Cancer;Persons;phrases;Pilot Projects;Privatization;protective factors;Rectal Cancer;Research;Risk Factors;Sexual and Gender Minorities;Smoking;smoking cessation;smoking prevalence;social media;transgender;Universities;","SPRING: Smoking Protective and Riskc Factors in Transgender and Non conforming Groups ",n/a,"NCI","10004834","3-SEP-2019","PAR-15-103",5U54CA156734-09,5,U54,CA,156734,09,,"AGUILA, HECTOR NELSON","","","Special Emphasis Panel (ZCA1-SRB-X (A1))",8839,"15031184","BALLOUT, SUHA  ","MACOSKA, JILL A.","08","Unavailable","808008122","US","42.315487","-71.055348","850902","UNIVERSITY OF MASSACHUSETTS BOSTON","BOSTON","MA","Domestic Higher Education","02125-3300","UNITED STATES", ,"1-SEP-2019","31-AUG-2020","",Research Centers,2019,,,73408
"654",No NIH Category available.,"Address;Affect;Aftercare;Anatomy;Anterior;Area;Awareness;base;Behavioral;Birth;Body Image;Brain;Cerebrum;Characteristics;cingulate gyrus;Clinic;Clinical;Clinical Research;cost;Costs and Benefits;Data;Decision Making;Development;Dose;dysphoria;Estrogens;Etiology;Evaluation;Exhibits;experience;experimental study;Female;Functional Magnetic Resonance Imaging;Gender;Gender Confirmation Surgery;gender diversity;gender dysphoria;Gender Identity;gender nonconforming;Gender Role;global health;Gonadal Steroid Hormones;Hormonal;Hormones;Image;improved;Individual;Institutes;interest;Intervention;Investigation;Left;Life;Link;Magnetic Resonance Imaging;male;Measures;Mediating;Medical;Modeling;neural circuit;neural patterning;Neurobiology;neuroimaging;novel;Operative Surgical Procedures;Outcome;outcome prediction;Participant;Pattern;Perception;Personal Satisfaction;Phenotype;Population;Procedures;Quality of life;Questionnaires;recruit;Reporting;Research;Rest;Role;satisfaction;Self Perception;Series;sex;sexual dimorphism;Site;Stigmatization;Stress;Structure;suicide rate;Sweden;Symptoms;Testing;Testosterone;Thick;Thinking;transgender;United States;urban area;Validity and Reliability;Visual;visual processing;Waist-Hip Ratio;","Gender identity and own body perception implications for the neurobiology of gender dysphoria","Project NarrativeProject Narrative: Perturbations of the experience of self and gender identity motivate individuals withgender dysphoria to undergo hormone and surgical alterations. However; little is known about the neuralcircuitry involved in body perception in these individuals; how it is affected by hormonal treatment; and whatmay predict better or worse longitudinal outcome after treatment. This study will provide valuable informationon the neurobiological underpinning of gender dysphoria; and promises to uncover brain structure; activation;and connectivity; as well as body phenotype and hormonal patterns that could predict outcome in terms ofbody image and quality of life after cross-sex hormone treatment; which ultimately could be used to assist inmedical decision-making.","NICHD","9740939","1-SEP-2019","PA-13-302",5R01HD087712-03,5,R01,HD,087712,03,,"LEE, KAREN","22-AUG-2017","31-JUL-2022","Psychosocial Development, Risk and Prevention Study Section (PDRP) ",,"8559484","FEUSNER, JAMIE  ","SAVIC-BERGLUND, IVANKA ","33","NONE","092530369","US","34.071312","-118.443545","577505","UNIVERSITY OF CALIFORNIA LOS ANGELES","LOS ANGELES","CA","SCHOOLS OF MEDICINE","90095-2000","UNITED STATES", ,"1-AUG-2019","31-JUL-2020","865",Research Projects,2019,NICHD,531202,
"595",No NIH Category available.,"Adolescent and Young Adult;Alcohol consumption;Alcohol or Other Drugs use;Appearance;Area;base;Biological;Birth;Canada;Categories;Chicago;Cocaine;Communities;Conscious;Counseling;Data;Development;Discrimination;dosage;Economics;ecstasy;Employment;Exposure to;Face;Feeling suicidal;Female;fluidity;Future;Gender;Gender Confirmation Surgery;gender expression;gender fluid;Gender Identity;gender nonconforming;gender transition;gender variant;genderqueer;Genitalia;Goals;Health;health care availability;Health Insurance;Health Professional;Health Promotion;Heroin;High Prevalence;Hormonal;hormone therapy;Hormone use;Hormones;Housing;Insurance Coverage;Intervention;Intervention Studies;Interview;Longitudinal Studies;male;man;marijuana use;Mediating;Medical;men;Mental Depression;Mental Health;mental health counseling;Methamphetamine;Methods;Monitor;neglect;New York City;Normal Pressure Hydrocephalus;Ontario;Operative Surgical Procedures;Opioid;Outcome;Personal Satisfaction;Persons;Politics;Population;Prevalence;Process;Professional Organizations;psychological outcomes;psychosocial;Psychosocial Factor;Publications;Recommendation;recruit;Reporting;Research Personnel;research study;Resources;Risk;Safety;San Francisco;satisfaction;self esteem;sex;Sex Orientation;social;Social support;Societies;standard of care;Substance abuse problem;substance abuse treatment;Testing;Theoretical model;transgender;transgender men;transgender women;transphobia;transsexual;Treatment/Psychosocial Effects;Violence;Virginia;Washington;Well in self;Woman;young adult;","Substance and Non-Prescribed Hormone Use Among Transmen","Project NarrativeVery few studies have described the trajectories of substance and hormone use andpsychological well-being among transwomen (male-to-female transgender/transsexual persons)and transmen (female-to-male transgender/transsexual persons). The population of people whoidentity transwomen/men or do not identify their gender based on a binary gender category ofmale/female is growing; particularly among adolescents and young adults. High prevalence ofsubstance use and non-prescribed hormone use (NPHU) has been reported amongtranswomen and transmen; however; little is known about the social and cultural contexts ofsubstance use and NPHU among transwomen and transmen in relation to key backgroundvariables (e.g.; gender identity and transition and sexual orientation and partnership). Theproposed study will longitudinally describe and examine the trajectories of substance use;prescribed hormone use; NPHU; and psychological well-being in social and cultural contextsamong young adult transwomen/men. We will compare transwomen and transmen in terms ofthe trajectories of health outcomes and psychosocial and background factors; test hypothesesand theoretical models; and prepare a health promotion intervention study for transwomen andtransmen who are highly vulnerable to substance abuse; NPHU; and mental health problems;but have been neglected by health professionals and researchers.","NIDA","9724425","24-MAY-2019","PA-15-261",5R01DA039971-04,5,R01,DA,039971,04,,"SCHULDEN, JEFFREY D","15-SEP-2016","30-JUN-2021","Health Disparities and Equity Promotion Study Section (HDEP) ",,"1873105","NEMOTO, TOORU  ","OPERARIO, DON ","13","Unavailable","128663390","US","37.803785","-122.275259","1618201","PUBLIC HEALTH INSTITUTE","OAKLAND","CA","Research Institutes","94607-4046","UNITED STATES", ,"1-JUL-2019","30-JUN-2020","279",Research Projects,2019,NIDA,427003,
"587",No NIH Category available.,"25-hydroxyvitamin D;Adolescent;Age;age related;Agonist;Area;Attenuated;attenuation;Biometry;Body Composition;Body measure procedure;bone;bone age;Bone Density;Bone Development;Bone Growth;bone health;bone imaging;bone mass;bone metabolism;bone quality;Bone Resorption;bone strength;bone turnover;boys;C-telopeptide;calcium intake;Caring;Child Care;Childhood;Clinical;clinical care;clinical practice;Cohort Studies;Complex;Coupled;Data;Data Analyses;Densitometry;design;Diagnostic radiologic examination;diet and exercise;Dietary Calcium;Drops;Dual-Energy X-Ray Absorptiometry;Elderly;Endocrinology;Enrollment;Ensure;Epidemiology;Estradiol;European;Exercise;experience;Fellowship;Fracture;fracture risk;Future;Gender;gender dysphoria;gender nonconforming;girls;Goals;Gonadal Steroid Hormones;Gonadotropin Hormone Releasing Hormone;Growth;Guidelines;Health;hormone therapy;Hormones;Image;Impairment;improved;Incidence;Insulin-Like Growth Factor I;Intervention;intervention effect;Investigation;K-Series Research Career Programs;Knowledge;Laboratories;Lead;lean body mass;Learning;Life;Measures;Medical;Mental Health;Mentorship;mineralization;N-terminal;Osteogenesis;Outcome;Participant;Peripheral;Physicians;Physiological;prevent;primary outcome;Procollagen;Puberty;Radiology Specialty;Reference Values;Reporting;Research;Resolution;Risk;Scientist;secondary outcome;sex;Site;skeletal;Skeletal bone;Skeletal Development;Skeleton;Structure;Testing;Testosterone;Time;Training;transgender;Treatment Protocols;Vitamin D;Weight-Bearing state;Work;X-Ray Computed Tomography;young adult;Youth;","Bone Density; Structure; and Estimated Strength in Transgender Youth Receiving Pubertal Suppression in Early Puberty","PROJECT NARRATIVEGender-affirming therapy in gender non-conforming youth has been shown to improve mental healthoutcomes; but longitudinal data on the skeletal effects of puberty suppression in the early pubertal genderdysphoric youth do not exist. Because puberty is a critical time period for growth and mineralization of theskeleton; gender-affirming therapy is introduced during a particularly vulnerable window. Understanding howbody composition and bone mass changes with puberty suppression in these youth will fill a crucial knowledgegap and potentially improve current treatment protocols; as future studies can build upon these findings tofurther investigate changes as gender-affirming sex hormones are initiated.","NICHD","9756170","12-JUN-2019","PA-18-670",1F32HD098763-01,1,F32,HD,098763,01,,"WINER, KAREN","1-JUL-2019","30-JUN-2020","Special Emphasis Panel (ZRG1-F10B-B (20)L)",,"15050574","LEE, JANET YI MAN",Not Applicable,"12","PEDIATRICS","094878337","US","37.786097","-122.448391","577508","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO","CA","SCHOOLS OF MEDICINE","94118-6215","UNITED STATES", ,"1-JUL-2019","30-JUN-2020","865",Training; Individual,2019,NICHD,74858,
"580",No NIH Category available.,"Address;Adherence;Anxiety;Appearance;Area;Attitude;Automobile Driving;biological sex;care delivery;care systems;Caring;Clinical;clinically significant;Code;cohort;Cohort Studies;Collaborations;Consult;Consultations;Data;demographics;design;Diagnosis;Discrimination;Distress;Documentation;dosage;effective intervention;Effectiveness;Estrogens;Ethics;Event;experience;Face;Feeling suicidal;Female;Feminization;follow-up;Foundations;Future;Gender;gender dysphoria;Gender Identity;Goals;Guidelines;Health;health disparity;Healthcare;hormone therapy;Hormones;Housing;housing instability;Impairment;improved;Individual;Injectable;Intervention;Knowledge;Laboratories;Lesbian Gay Bisexual Transgender;male;Masculine;Measures;Medical;medical specialties;Mental Depression;mental health counseling;Methods;Modeling;Monitor;Morbidity - disease rate;mortality;Operative Surgical Procedures;Oral;Patient Care;Patients;Patterns of Care;Persons;pharmacy benefit;Policies;Population;Prevalence;Primary Care Physician;programs;Provider;Quality of Care;Quality of life;Recommendation;Research;Research Priority;Route;Sampling;Schedule;Services;sex;Sex Orientation;Site;Strategic Planning;Suicide;Suicide prevention;suicide rate;Testosterone;therapy duration;Time;Titrations;Training;transgender;transgender women;Variant;Veterans;Work;","Understanding Hormone Therapy Care Received by Transgender Veterans in VHA","The number of transgender Veterans (?trans vets?) on hormone therapy served by VHA has increased five-foldover the past ten years; and is still increasing. While VHA is committed to providing high-quality care to transvets; little is known about quality of care currently provided to them in VHA. Transgender hormone therapy isan especially important part of transgender care ? in many cases; it is the only intervention the patientreceives. The goals of this project are to characterize the hormone therapy that trans vets currently receive; ascompared to what would be recommended by clinical guidelines. We will also examine the patient-; provider-;and site-level predictors of guideline-concordant hormone therapy prescribing in this population. This study willallow us to examine adherence to recommendations to determine where gaps in delivery of care exist. Thisresearch will serve as a foundation for future efforts for improving the quality of care delivered to trans vets.","VA","9608884","24-MAY-2019","RFA-HX-18-001",1I01HX002556-01A1,1,I01,VA,002556,01,A1,Unavailable,"1-APR-2019","31-MAR-2021","HSR-2 Determinants of Patient Response to Care   (HSR2) ",,"11212560","JASUJA, GUNEET ",Not Applicable,"06","Unavailable","080042336","US","42.501309","-71.272305","481040","EDITH NOURSE  ROGERS MEMORIAL VETERANS HOSPITAL","BEDFORD","MA","Independent Hospitals","01730-1114","UNITED STATES", ,"1-APR-2019","31-MAR-2020","999",Research Projects,2019,,,,,
"551",No NIH Category available.,"Adolescence;Adolescent;Adolescent Development;Adult;Age;Alcohol or Other Drugs use;Anxiety;Area;behavioral health;behavioral health intervention;Body Image;Calendar;Child;cisgender;Data;Data Collection;Depression and Suicide;Development;Discrimination;Education;emotional adjustment;Encapsulated;experience;Exposure to;Face;Family;family management;Friends;Future;gender expression;Gender Identity;gender minority;health care availability;Health Surveys;Healthcare Systems;HIV;Hormones;Housing;Image;Individual;Inequality;Interview;Knowledge;Lesbian Gay Bisexual;life history;member;Mental Depression;Mental Health;Methods;Minority;neglect;novel;Outcome;outcome prediction;parent-child communication;Parents;peer;Perception;Personal Satisfaction;Pilot Projects;Policies;Prevention;Process;psychologic;psychological distress;Reporting;Research;response;Risk;Schools;Self Concept;self esteem;Self Perception;Self-Injurious Behavior;Social Environment;Social Justice;social stigma;Social support;Stress;stressor;Suicide;Surveys;System;Theoretical model;transgender;Victimization;Youth;","Adolescent and parent stress and support related to adolescent gender identity.","Project Narrative Transgender adolescents are disproportionately impacted by mental health concerns including depression;anxiety; and poor self-esteem and body image. Research has focused on either the experiences oftransgender youth or their parents; but not both; which limits our understanding of transgender adolescent ?parent stress (i.e.; dyadic stress) and parent support. Specifically; this pilot study uses Life History Calendar(LHC) informed qualitative interviews and a quantitative behavioral health and parent-support survey toinvestigate transgender adolescent and parent perceptions of adolescent minority stress; adolescent-parentstress and parent support in response to adolescent gender identity development and expression andassesses potential correlations with adolescent psychological functioning.","NICHD","9707594","6-JUN-2019","PA-16-309",5F31HD091981-02,5,F31,HD,091981,02,,"ESPOSITO, LAYLA E","15-JUN-2018","14-JUN-2020","Special Emphasis Panel (ZRG1-F16-L (20)L)",,"12660444","DUNLAP, SHANNON LEE",Not Applicable,"33","SOCIAL SCIENCES","092530369","US","34.071312","-118.443545","577505","UNIVERSITY OF CALIFORNIA LOS ANGELES","LOS ANGELES","CA","SCHOOLS OF ARTS AND SCIENCES","90095-2000","UNITED STATES", ,"15-JUN-2019","14-JUN-2020","865",Training; Individual,2019,NICHD,37148,
"537",No NIH Category available.,"Address;Adolescence;Adolescent;Affect;Amygdaloid structure;Anatomy;Animals;Anterior;Anxiety;Behavior;behavior measurement;Behavioral;Biological;Brain;brain behavior;Brain region;cingulate cortex;Clinic;Clinical;clinical care;clinical decision-making;clinical practice;Cognitive;cohort;Data;Development;Disease;disorder risk;Emotional;Epidemiology;Estradiol;Estrogens;European;evidence base;Experimental Models;Female;Foundations;Functional Magnetic Resonance Imaging;gender dysphoria;GNRH1 gene;Gonadal Steroid Hormones;Health;Hippocampus (Brain);Hormonal;hormone therapy;Hormones;Human;improved;Individual;insight;Intervention;Knowledge;Longevity;male;Maps;Measurement;Measures;Mental disorders;Modeling;mood regulation;Moods;neural network;neurodevelopment;neuropsychiatric disorder;Neuropsychology;novel;Outcome;Pattern;peer;Performance;perinatal period;Physiological;Population;Prefrontal Cortex;Prevalence;Process;psychologic;Psychopathology;Puberty;relating to nervous system;Research;Rest;Risk;Risk Factors;Role;segregation;sex;Sex Differences;sexual dimorphism;Structure;Testing;Testosterone;Time;transgender;Translations;Vulnerable Populations;Youth;","Sex hormone effects on neurodevelopment: Controlled puberty in transgender adolescents","Project NarrativeThe relatively recent introduction of cross-sex hormone therapy for transgender youth represents a significantshift in clinical practices; however underlying mechanisms for these interventions are poorly understood;particularly during early stages of puberty. This study utilizes comprehensive approaches to examine cross-sexhormone effects on the brain throughout the pubertal period and aims to improve long-term clinical outcomesfor transgender youth by elucidating how sex hormone therapy alters sex-specific risk for disease. Delineationof this paradigm also provides critical insight into the role of sex hormones in typical development and theirimpact on neural networks implicated in psychiatric disorders.","NIMH","9769144","31-MAY-2019","PA-15-261",5R01MH115349-02,5,R01,MH,115349,02,,"PACHECO, JENNI","23-AUG-2018","31-MAY-2023","Neuroendocrinology, Neuroimmunology, Rhythms and Sleep Study Section (NNRS) ",,"9594815","HONG, DAVID S",Not Applicable,"18","PSYCHIATRY","009214214","US","37.430351","-122.178210","8046501","STANFORD UNIVERSITY","STANFORD","CA","SCHOOLS OF MEDICINE","94305-2004","UNITED STATES", ,"1-JUN-2019","31-MAY-2020","242",Research Projects,2019,NIMH,738226,
