NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Total Cost by IC,FY Total Cost (Sub Projects),
No NIH Category available.,"Address;Adolescence;Adolescent;Affect;Amygdaloid structure;Anatomy;Animals;Anterior;Anxiety;Behavior;behavior measurement;Behavioral;Biological;Brain;brain behavior;Brain region;cingulate cortex;Clinic;Clinical;clinical care;clinical decision-making;clinical practice;Cognitive;cohort;Data;Development;Disease;disorder risk;Emotional;Epidemiology;Estradiol;Estrogens;European;evidence base;Experimental Models;Female;Foundations;Functional Magnetic Resonance Imaging;gender dysphoria;GNRH1 gene;Gonadal Steroid Hormones;Health;Hippocampus (Brain);Hormonal;hormone therapy;Hormones;Human;improved;Individual;insight;Intervention;Knowledge;Longevity;male;Maps;Measurement;Measures;Mental disorders;Modeling;mood regulation;Moods;neural network;neurodevelopment;neuropsychiatric disorder;Neuropsychology;novel;Outcome;Pattern;peer;Performance;perinatal period;Physiological;Population;Prefrontal Cortex;Prevalence;Process;psychologic;Psychopathology;Puberty;relating to nervous system;Research;Rest;Risk;Risk Factors;Role;segregation;sex;Sex Differences;sexual dimorphism;Structure;Testing;Testosterone;Time;transgender;Translations;Vulnerable Populations;Youth;","Sex hormone effects on neurodevelopment: Controlled puberty in transgender adolescents","Project NarrativeThe relatively recent introduction of cross-sex hormone therapy for transgender youth represents a significantshift in clinical practices; however underlying mechanisms for these interventions are poorly understood;particularly during early stages of puberty. This study utilizes comprehensive approaches to examine cross-sexhormone effects on the brain throughout the pubertal period and aims to improve long-term clinical outcomesfor transgender youth by elucidating how sex hormone therapy alters sex-specific risk for disease. Delineationof this paradigm also provides critical insight into the role of sex hormones in typical development and theirimpact on neural networks implicated in psychiatric disorders.","NIMH","9769144","31-MAY-2019","PA-15-261",5R01MH115349-02,5,R01,MH,115349,02,,"PACHECO, JENNI","23-AUG-2018","31-MAY-2023","Neuroendocrinology, Neuroimmunology, Rhythms and Sleep Study Section (NNRS) ",,"9594815","HONG, DAVID S",Not Applicable,"18","PSYCHIATRY","009214214","US","37.430351","-122.178210","8046501","STANFORD UNIVERSITY","STANFORD","CA","SCHOOLS OF MEDICINE","94305-2004","UNITED STATES", ,"1-JUN-2019","31-MAY-2020","242",Research Projects,2019,NIMH,738226,
No NIH Category available.,"25-hydroxyvitamin D;Adolescent;Age;age related;Agonist;Area;Attenuated;attenuation;Biometry;Body Composition;Body measure procedure;bone;bone age;Bone Density;Bone Development;Bone Growth;bone health;bone imaging;bone mass;bone metabolism;bone quality;Bone Resorption;bone strength;bone turnover;boys;C-telopeptide;calcium intake;Caring;Child Care;Childhood;Clinical;clinical care;clinical practice;Cohort Studies;Complex;Coupled;Data;Data Analyses;Densitometry;design;Diagnostic radiologic examination;diet and exercise;Dietary Calcium;Drops;Dual-Energy X-Ray Absorptiometry;Elderly;Endocrinology;Enrollment;Ensure;Epidemiology;Estradiol;European;Exercise;experience;Fellowship;Fracture;fracture risk;Future;Gender;gender dysphoria;gender nonconforming;girls;Goals;Gonadal Steroid Hormones;Gonadotropin Hormone Releasing Hormone;Growth;Guidelines;Health;hormone therapy;Hormones;Image;Impairment;improved;Incidence;Insulin-Like Growth Factor I;Intervention;intervention effect;Investigation;K-Series Research Career Programs;Knowledge;Laboratories;Lead;lean body mass;Learning;Life;Measures;Medical;Mental Health;Mentorship;mineralization;N-terminal;Osteogenesis;Outcome;Participant;Peripheral;Physicians;Physiological;prevent;primary outcome;Procollagen;Puberty;Radiology Specialty;Reference Values;Reporting;Research;Resolution;Risk;Scientist;secondary outcome;sex;Site;skeletal;Skeletal bone;Skeletal Development;Skeleton;Structure;Testing;Testosterone;Time;Training;transgender;Treatment Protocols;Vitamin D;Weight-Bearing state;Work;X-Ray Computed Tomography;young adult;Youth;","Bone Density; Structure; and Estimated Strength in Transgender Youth Receiving Pubertal Suppression in Early Puberty","PROJECT NARRATIVEGender-affirming therapy in gender non-conforming youth has been shown to improve mental healthoutcomes; but longitudinal data on the skeletal effects of puberty suppression in the early pubertal genderdysphoric youth do not exist. Because puberty is a critical time period for growth and mineralization of theskeleton; gender-affirming therapy is introduced during a particularly vulnerable window. Understanding howbody composition and bone mass changes with puberty suppression in these youth will fill a crucial knowledgegap and potentially improve current treatment protocols; as future studies can build upon these findings tofurther investigate changes as gender-affirming sex hormones are initiated.","NICHD","9756170","12-JUN-2019","PA-18-670",1F32HD098763-01,1,F32,HD,098763,01,,"WINER, KAREN","1-JUL-2019","30-JUN-2020","Special Emphasis Panel (ZRG1-F10B-B (20)L)",,"15050574","LEE, JANET YI MAN",Not Applicable,"12","PEDIATRICS","094878337","US","37.786097","-122.448391","577508","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO","CA","SCHOOLS OF MEDICINE","94118-6215","UNITED STATES", ,"1-JUL-2019","30-JUN-2020","865",Training; Individual,2019,NICHD,74858,
"Basic Behavioral and Social Science;Behavioral and Social Science;Clinical Research;Health Disparities;Health Services;Mental Health;Minority Health;Pediatric;Sexual and Gender Minorities (SGM/LGBT*)","Address;Adult;Age;age related;Alcohol or Other Drugs use;Anxiety;Area;Assessment tool;base;Benefits and Risks;Birth;Childhood;Clinical;Clinical Practice Guideline;Clinical Services;Cognitive;Competence;Decision Making;decision-making capacity;Development;Distress;Eligibility Determination;Emotional;Empirical Research;Endocrine;Evaluation;evidence base;Evolution;executive function;Exhibits;Family;Feedback;Gender;gender dysphoria;Gender Identity;gender variant;Goals;Gonadotropin-Releasing Hormone Analog;Grant;Guidelines;Health;health assessment;health care quality;improved;Institute of Medicine (U.S.);Interview;Interviewer;Legal;Lesbian Gay Bisexual;Measures;Medical;Mental Depression;Mental Health;Methods;multidisciplinary;Neurocognitive;Normal Range;novel;Outcome;Parents;Participant;Pattern;Population;prevent;Process;Professional Organizations;programs;prototype;psychoeducation;Psychometrics;Psychosocial Assessment and Care;Puberty;Public Health;Quality of Care;Readiness;Recommendation;Reporting;Research;Sampling;Self Efficacy;Self-Injurious Behavior;Severities;sex;Sex Characteristics;Short-Term Memory;Societies;standard of care;Standardization;standardize measure;Stress;Structure;Substance abuse problem;Suicide;System;Testing;Therapeutic;tool;transgender;usability;Validity and Reliability;Youth;","Structured Pubertal Suppression Readiness Assessment for Gender Dysphoric Youth","The Institute of Medicine?s 2011 report ?The Health of Lesbian; Gay; Bisexual; and Transgender (LGBT)People;? calls for the development of evidence-based and rigorous research aimed at improving quality ofhealth care for gender-variant youth. Developing an assessment tool that can guide the systematic evaluationof readiness for pubertal suppression treatment is critical as pubertal suppression has become more widelyaccepted as standard of care for gender dysphoria among peripubertal youth.","NICHD","9415475","12-DEC-2017","PA-13-303",5R21HD087839-02,5,R21,HD,087839,02,,"BREMER, ANDREW","23-JAN-2017","31-DEC-2019","Psychosocial Development, Risk and Prevention Study Section (PDRP) ",,"9801731","CHEN, DIANE ",Not Applicable,"07","Unavailable","074438755","US","41.896683","-87.621466","1525701","LURIE CHILDREN'S HOSPITAL OF CHICAGO","CHICAGO","IL","Independent Hospitals","60611-2991","UNITED STATES", ,"1-JAN-2018","31-DEC-2019","865",Research Projects,2018,NICHD,228921,
No NIH Category available.,"Address;Adolescence;Adolescent;Agreement;Area;Attention;base;Behavior;Behavioral;behavioral health;Birth;Boston;California;Caregivers;Caring;Characteristics;Chicago;Child;Childhood;Classification;Clinic;Clinical;clinical care;Clinical Management;clinical practice;Cognition;cohort;Collaborations;Collection;Companions;Consensus;Data;Data Reporting;Development;Diagnosis;Distress;early childhood;emerging adult;Enrollment;experience;externalizing behavior;Family;First Name;Funding;Gender;gender dysphoria;gender expression;Gender Identity;gender nonconforming;Gender Role;gender transition;Goals;Grant;Health;Healthcare;improved;Individual;Institute of Medicine (U.S.);Intervention;Investigation;Knowledge;Lesbian Gay Bisexual Transgender;Life Cycle Stages;Longitudinal cohort;Longitudinal cohort study;Longitudinal prospective study;Longitudinal Studies;Los Angeles;Measures;medical schools;Mental Health;National Institute of Child Health and Human Development;Outcome;outcome forecast;Parents;Participant;Pattern;Pediatric Hospitals;person centered;population based;prepuberty;programs;psychosocial;recruit;Reporter;Reporting;Research;Research Support;resilience;Resources;Risk;Role;Sampling;San Francisco;sex;Site;social;Subgroup;Symptoms;Time;transgender;United States;United States National Institutes of Health;Universities;University Hospitals;Work;Youth;","A Longitudinal Study of Gender Nonconformity in Prepubescent Children","PROJECT NARRATIVETo date; the youngest transgender/gender-nonconforming (TGNC) individuals have been overlookeddespite the May 2011 Institute of Medicine (IOM) report; ?The Health of Lesbian; Gay; Bisexual; andTransgender People;? explicitly calling for NIH-supported research on the health needs of TGNCindividuals; including: (1) the collection of empirical data on TGNC-specific health care to addressgender dysphoria; (2) rigorous research aimed at understanding the health implications of approachesto care; and (3) longitudinal cohort studies that incorporate a life-course perspective to examinespecific experiences of TGNC individuals across developmental stages. The proposed study leveragesthe resources of the only NIH-funded network of four US-based pediatric gender centers (Grant#R01HD082554); expanding on this current collaboration (studying TGNC adolescents) to include ayounger and understudied cohort of prepubertal TGNC children. Specifically; the study aims to expandthe body of empirical knowledge pertaining to gender development and cognition in TGNC children;their mental health symptomology and functioning over time; and how family-initiated social gendertransition may predict or alleviate mental health symptoms and/or diagnoses.","NICHD","9637730","21-MAR-2019","PA-17-478",1R01HD097122-01,1,R01,HD,097122,01,,"ESPOSITO, LAYLA E","21-MAR-2019","29-FEB-2024","Psychosocial Development, Risk and Prevention Study Section (PDRP) ",,"11627867","HIDALGO, MARCO  ","CHEN, DIANE ;EHRENSAFT, DIANE ;TISHELMAN, AMY C.","28","Unavailable","052277936","US","34.098065","-118.290690","1520001","CHILDREN'S HOSPITAL OF LOS ANGELES","LOS ANGELES","CA","Independent Hospitals","90027-6062","UNITED STATES", ,"21-MAR-2019","29-FEB-2020","865",Research Projects,2019,NICHD,776835,
No NIH Category available.,"Address;Adolescent;adopted child;Adult;Affect;Age;arm;Assisted Reproductive Technology;base;Biological;Birth;Caregivers;Caring;Cell Maturation;Child;Child Rearing;Childhood;Clinic;Clinical;Communication;Community Surveys;Complex;Continuity of Patient Care;cost;Counseling;Cryopreservation;Data;Decision Aid;Decision Making;design;Development;Distress;Education;Estrogens;Evidence based practice;Family;Family Planning;Fertility;Fertility Agents;fertility preservation;Focus Groups;Fostering;Future;Gender;gender dysphoria;Gender Identity;Germ Cells;Goals;Gonadotropin-Releasing Hormone Analog;Health;health care quality;Healthcare;Hormones;Impairment;improved;Institute of Medicine (U.S.);instrument;interest;Intervention;Knowledge;Language;Lesbian Gay Bisexual Transgender;Measures;Medical;meetings;multidisciplinary;Online Systems;Outcome Measure;Parents;patient oriented;Patients;pilot trial;Pre-Post Tests;prevent;Procedures;Protocols documentation;prototype;Provider;Puberty;Quality of Care;Quality of life;Reporting;reproductive;Reproductive Biology;Reproductive Health;Research;Research Support;Risk;Sampling;sex;Sex Characteristics;standard of care;Technology;Testing;Testosterone;Time;transgender;United States;United States National Institutes of Health;usability;user centered design;young adult;Youth;","Fertility Decision-Making in Youth and Young Adults","The Institute of Medicine?s 2011 report ?The Health of Lesbian; Gay; Bisexual; and Transgender People;?called for NIH-supported research to develop evidence-based practices to improve quality of health care fortransgender youth. The proposed study will develop and test the feasibility and efficacy of a patient-centeredAid For Fertility-Related Medical Decisions (AFFRMED) targeted for transgender youth facing decisions aboutfertility preservation due to gender-affirming medical care that may impair long-term fertility. The AFFRMEDhas the potential to positively impact care for transgender youth by: (1) improving knowledge of potentialfertility risks associated gender-affirming treatment; options for fertility preservation; and alternate family-building options; (2) preparing youth and their caregivers for informed discussions with clinical providersregarding complex and sensitive issues related to fertility; (3) facilitating informed decision-making aboutfertility-altering treatments and fertility preservation; and (4) protecting transgender youths? reproductiveautonomy.","NICHD","9790975","5-SEP-2019","PA-18-040",5R21HD097459-02,5,R21,HD,097459,02,,"KING, ROSALIND B","21-SEP-2018","31-AUG-2020","Psychosocial Development, Risk and Prevention Study Section (PDRP) ",,"9801731","CHEN, DIANE ",Not Applicable,"07","Unavailable","074438755","US","41.896683","-87.621466","1525701","LURIE CHILDREN'S HOSPITAL OF CHICAGO","CHICAGO","IL","Independent Hospitals","60611-2991","UNITED STATES", ,"1-SEP-2019","31-AUG-2020","865",Research Projects,2019,NICHD,192350,
No NIH Category available.,"Address;Adherence;Adolescent;Adolescent and Young Adult;Affect;Age;AIDS prevention;AIDS/HIV problem;appropriate dose;Attention;base;behavior change;Behavioral;biobehavior;Birth;bone;Cognitive;cohort;Communities;Couples;Data;Data Reporting;Development;Developmental Process;Directly Observed Therapy;Drug Exposure;Drug Interactions;Drug Kinetics;Effectiveness;empowerment;emtricitabine;Environmental Risk Factor;Epidemic;Estradiol;Ethnography;FDA approved;Feedback;Female;Focus Groups;Fright;Fumarates;Gender;gender expression;Gender Identity;Gonadal Steroid Hormones;Heterosexuals;high risk;HIV;HIV Infections;HIV prevention trial;hormonal contraception;hormone therapy;Hormones;improved;Incidence;Individual;innovation;Intervention;Interview;Kidney;Legal;male;Medical;men who have sex with men;Minerals;Modeling;Monitor;Motivation;Outcome;Participant;Pharmaceutical Preparations;Phase;Physiologic calcification;Population;pre-exposure prophylaxis;Prevalence;Preventive Intervention;Process;programs;Provider;Public Health;racial minority;Randomized;Randomized Controlled Trials;Renal function;Research Project Grants;Risk;Safety;sex;Sexual Development;skills;social;standard of care;Subgroup;Tenofovir;Testosterone;theories;transgender;transgender men;transgender women;United States;uptake;Variant;Vulnerable Populations;young man;Youth;","Transgender Youth and PrEP: PK; Safety; Uptake & Adherence","PROJECT NARRATIVEThe proposed research project has high relevance to public health because it targets adolescent and youngadult transgender women and men; especially racial minority transgender youth; a populationdisproportionately impacted by the HIV epidemic in the United States. The proposed project supports theNational HIV/AIDS Strategy's focus on HIV prevention for the most impacted US populations and reducing HIVinfections in these populations by increasing uptake and adherence to PrEP; a highly efficacious HIVprevention intervention.","NIMH","9625656","12-DEC-2018","PA-14-127",5R01MH114753-02,5,R01,MH,114753,02,,"ALLISON, SUSANNAH","15-JAN-2018","30-NOV-2022","Behavioral and Social Science Approaches to Preventing HIV/AIDS Study Section (BSPH) ",,"8552139","HOSEK, SYBIL ",Not Applicable,"07","Unavailable","068625136","US","41.868656","-87.681471","3290801","HEKTOEN INSTITUTE FOR MEDICAL RESEARCH","Chicago","IL","Research Institutes","60608-1204","UNITED STATES", ,"1-DEC-2018","30-NOV-2019","242",Research Projects,2019,NIMH,627560,
No NIH Category available.,"Adolescent and Young Adult;Alcohol consumption;Alcohol or Other Drugs use;Appearance;Area;base;Biological;Birth;Canada;Categories;Chicago;Cocaine;Communities;Conscious;Counseling;Data;Development;Discrimination;dosage;Economics;ecstasy;Employment;Exposure to;Face;Feeling suicidal;Female;fluidity;Future;Gender;Gender Confirmation Surgery;gender expression;gender fluid;Gender Identity;gender nonconforming;gender transition;gender variant;genderqueer;Genitalia;Goals;Health;health care availability;Health Insurance;Health Professional;Health Promotion;Heroin;High Prevalence;Hormonal;hormone therapy;Hormone use;Hormones;Housing;Insurance Coverage;Intervention;Intervention Studies;Interview;Longitudinal Studies;male;man;marijuana use;Mediating;Medical;men;Mental Depression;Mental Health;mental health counseling;Methamphetamine;Methods;Monitor;neglect;New York City;Normal Pressure Hydrocephalus;Ontario;Operative Surgical Procedures;Opioid;Outcome;Personal Satisfaction;Persons;Politics;Population;Prevalence;Process;Professional Organizations;psychological outcomes;psychosocial;Psychosocial Factor;Publications;Recommendation;recruit;Reporting;Research Personnel;research study;Resources;Risk;Safety;San Francisco;satisfaction;self esteem;sex;Sex Orientation;social;Social support;Societies;standard of care;Substance abuse problem;substance abuse treatment;Testing;Theoretical model;transgender;transgender men;transgender women;transphobia;transsexual;Treatment/Psychosocial Effects;Violence;Virginia;Washington;Well in self;Woman;young adult;","Substance and Non-Prescribed Hormone Use Among Transmen","Project NarrativeVery few studies have described the trajectories of substance and hormone use andpsychological well-being among transwomen (male-to-female transgender/transsexual persons)and transmen (female-to-male transgender/transsexual persons). The population of people whoidentity transwomen/men or do not identify their gender based on a binary gender category ofmale/female is growing; particularly among adolescents and young adults. High prevalence ofsubstance use and non-prescribed hormone use (NPHU) has been reported amongtranswomen and transmen; however; little is known about the social and cultural contexts ofsubstance use and NPHU among transwomen and transmen in relation to key backgroundvariables (e.g.; gender identity and transition and sexual orientation and partnership). Theproposed study will longitudinally describe and examine the trajectories of substance use;prescribed hormone use; NPHU; and psychological well-being in social and cultural contextsamong young adult transwomen/men. We will compare transwomen and transmen in terms ofthe trajectories of health outcomes and psychosocial and background factors; test hypothesesand theoretical models; and prepare a health promotion intervention study for transwomen andtransmen who are highly vulnerable to substance abuse; NPHU; and mental health problems;but have been neglected by health professionals and researchers.","NIDA","9724425","24-MAY-2019","PA-15-261",5R01DA039971-04,5,R01,DA,039971,04,,"SCHULDEN, JEFFREY D","15-SEP-2016","30-JUN-2021","Health Disparities and Equity Promotion Study Section (HDEP) ",,"1873105","NEMOTO, TOORU  ","OPERARIO, DON ","13","Unavailable","128663390","US","37.803785","-122.275259","1618201","PUBLIC HEALTH INSTITUTE","OAKLAND","CA","Research Institutes","94607-4046","UNITED STATES", ,"1-JUL-2019","30-JUN-2020","279",Research Projects,2019,NIDA,427003,
No NIH Category available.,"Address;Adherence;Anxiety;Appearance;Area;Attitude;Automobile Driving;biological sex;care delivery;care systems;Caring;Clinical;clinically significant;Code;cohort;Cohort Studies;Collaborations;Consult;Consultations;Data;demographics;design;Diagnosis;Discrimination;Distress;Documentation;dosage;effective intervention;Effectiveness;Estrogens;Ethics;Event;experience;Face;Feeling suicidal;Female;Feminization;follow-up;Foundations;Future;Gender;gender dysphoria;Gender Identity;Goals;Guidelines;Health;health disparity;Healthcare;hormone therapy;Hormones;Housing;housing instability;Impairment;improved;Individual;Injectable;Intervention;Knowledge;Laboratories;Lesbian Gay Bisexual Transgender;male;Masculine;Measures;Medical;medical specialties;Mental Depression;mental health counseling;Methods;Modeling;Monitor;Morbidity - disease rate;mortality;Operative Surgical Procedures;Oral;Patient Care;Patients;Patterns of Care;Persons;pharmacy benefit;Policies;Population;Prevalence;Primary Care Physician;programs;Provider;Quality of Care;Quality of life;Recommendation;Research;Research Priority;Route;Sampling;Schedule;Services;sex;Sex Orientation;Site;Strategic Planning;Suicide;Suicide prevention;suicide rate;Testosterone;therapy duration;Time;Titrations;Training;transgender;transgender women;Variant;Veterans;Work;","Understanding Hormone Therapy Care Received by Transgender Veterans in VHA","The number of transgender Veterans (?trans vets?) on hormone therapy served by VHA has increased five-foldover the past ten years; and is still increasing. While VHA is committed to providing high-quality care to transvets; little is known about quality of care currently provided to them in VHA. Transgender hormone therapy isan especially important part of transgender care ? in many cases; it is the only intervention the patientreceives. The goals of this project are to characterize the hormone therapy that trans vets currently receive; ascompared to what would be recommended by clinical guidelines. We will also examine the patient-; provider-;and site-level predictors of guideline-concordant hormone therapy prescribing in this population. This study willallow us to examine adherence to recommendations to determine where gaps in delivery of care exist. Thisresearch will serve as a foundation for future efforts for improving the quality of care delivered to trans vets.","VA","9608884","24-MAY-2019","RFA-HX-18-001",1I01HX002556-01A1,1,I01,VA,002556,01,A1,Unavailable,"1-APR-2019","31-MAR-2021","HSR-2 Determinants of Patient Response to Care   (HSR2) ",,"11212560","JASUJA, GUNEET ",Not Applicable,"06","Unavailable","080042336","US","42.501309","-71.272305","481040","EDITH NOURSE  ROGERS MEMORIAL VETERANS HOSPITAL","BEDFORD","MA","Independent Hospitals","01730-1114","UNITED STATES", ,"1-APR-2019","31-MAR-2020","999",Research Projects,2019,,,,,
"Behavioral and Social Science;Clinical Research;Health Disparities;Mental Health;Minority Health;Sexual and Gender Minorities (SGM/LGBT*)","Acquired Immunodeficiency Syndrome;Acute;Address;Adolescence;Adult;Affect;Age;Age of Onset;Alcohol or Other Drugs use;Anxiety;Awareness;base;Birth;Characteristics;Childhood;Cities;cohort;Communities;coping;Data;Development;Discrimination;Distress;Domestic Violence;Education;Enrollment;Ethnic Origin;experience;family support;Feeling suicidal;Female;Feminine;follow-up;Fostering;Future;Gays;Gender;gender diversity;gender dysphoria;Gender Identity;gender nonconforming;gender variant;Goals;Health;Health Promotion;HIV;HIV Infections;Homelessness;Homosexuals;Hormone use;Imprisonment;Individual;innovation;insight;Intervention;Interview;Knowledge;Label;Lesbian;Longevity;Longitudinal Studies;male;man;Masculine;Measures;Mental Depression;Mental Health;Meta-Analysis;Methods;Minority;Modeling;Nature;New York City;Patient Self-Report;peer support;Personal Satisfaction;Persons;Population;Population Heterogeneity;Prevalence;Process;psychological distress;psychosocial adjustment;psychosocial development;public health relevance;Race;Recording of previous events;recruit;Reporting;Research;resilience;Risk;Risk Factors;Sampling;San Francisco;Series;sex;Sex Orientation;Shame;Smoking;social stigma;Social Work;Stigmatization;Stress;Stress and Coping;stress resilience;stressor;Suicide attempt;Testing;theories;Time;transgender;transgender men;transgender women;Typology;United States;Vulnerable Populations;Woman;Work;","Identity Development; Risk; and Resilience among Gender Diverse Populations","PUBLIC HEALTH RELEVANCE: Research to date has found inequities in mental health; substance use; HIV infection; and other health concerns among gender nonconforming people in the United States. This study takes a longitudinal; mixed- method approach to uncover the mechanism of how stigma and minority stress affect health and psychosocial development among this population; identifying periods of acute vulnerability and corresponding resilience. Findings will inform the development of future intervention strategies aimed at reducing stigma and promoting the health and wellbeing of this and other vulnerable populations.","NICHD","9534150","10-JUL-2018","PA-12-111",5R01HD079603-05,5,R01,HD,079603,05,,"BURES, REGINA M","25-SEP-2014","30-JUN-2020","Social Psychology, Personality and Interpersonal Processes Study Section (SPIP) ",,"6832127","BOCKTING, WALTER O.",Not Applicable,"13","Unavailable","167204994","US","40.842455","-73.944838","1590919","NEW YORK STATE PSYCHIATRIC INSTITUTE","NEW YORK","NY","Independent Hospitals","10032-1007","UNITED STATES", ,"1-JUL-2018","30-JUN-2020","865",Research Projects,2018,NICHD,556709,
No NIH Category available.,"absorption;Address;Affect;Age;Alcohol or Other Drugs use;Anxiety;Attitude;Award;base;Behavior;biological adaptation to stress;Birth;Caring;Clinic;Cognitive;community based participatory research;community center;cultural values;Data;Development;digital;Discrimination;Environment;experience;Family;Family member;family support;Fostering;Future;Gender;Gender Identity;gender minority;Goals;Group Homes;Health;Health behavior change;Health Promotion;Homelessness;Housing;improved;Individual;innovation;Institute of Medicine (U.S.);Intervention;Intervention Studies;Interview;Knowledge;Lead;Lesbian Gay Bisexual Transgender;Link;Mental Depression;Mentors;Methods;Minority;Modeling;Multimedia;negative affect;New England;Outcome;Parents;Participant;Pathway interactions;perceived stress;Personal Satisfaction;Persuasive Communication;Phase;Play;Population;Prejudice;Process;Provider;psychologic;public health relevance;Qualitative Methods;recruit;Research;Risk;Self Efficacy;Self-Injurious Behavior;sex;sexual minority;sexual risk behavior;Shelter facility;Siblings;skills;social;Social Network;social stigma;Social support;Source;Stigmatization;Stress;stressor;Suicide;support network;Surveys;System;Systems Theory;Target Populations;Testing;theories;therapy development;Time;Training;transgender;Transportation;United States National Institutes of Health;Visual;Work;Youth;","The Family Environment; Social Support; and Health in Transgender Youth","PUBLIC HEALTH RELEVANCE: Transgender youth may be at greater risk than non-transgender youth for negative health outcomes; such as substance use; self-harm; and depression; due in part to stressors related to the family environment. This research will increase knowledge about the longitudinal effects of the family environment on health outcomes among transgender youth and the development of innovative interventions that can ultimately improve the health and well-being of transgender youth and families.","NICHD","9637401","26-APR-2019","PA-14-042",5R00HD082340-05,5,R00,HD,082340,05,,"BURES, REGINA M","25-FEB-2017","31-JAN-2020","Special Emphasis Panel (NSS)",,"11817394","KATZ-WISE, SABRA L.",Not Applicable,"07","Unavailable","076593722","US","42.336891","-71.105371","1504801","BOSTON CHILDREN'S HOSPITAL","BOSTON","MA","Independent Hospitals","02115-5724","UNITED STATES", ,"1-FEB-2019","31-JAN-2020","865",Research Projects,2019,NICHD,233891,
