id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
22	a e korten	-0.3368	0.0391	9	2	6	3	369	4.2034	2002.6667	123	1.4011
38	a j f m kerkhof	-0.483	0.0756	9	8	10	4	97	6.1547	2015	24.25	1.5387
53	a lange	-0.493	-0.1032	3	6	12	5	145	2.9804	2008.8	29	0.5961
86	a w m evers	-0.8084	-0.4158	13	3	7	7	79	5.7901	2017.2857	11.2857	0.8272
98	aaron r lyon	0.1274	-0.0193	2	4	5	3	38	8.4086	2018	12.6667	2.8029
103	aartjan t f beekman	-0.6263	-0.0867	3	4	6	3	68	2.7711	2015	22.6667	0.9237
136	acacia c parks	0.0628	0.0353	2	1	2	3	111	2.8489	2015.6667	37	0.9496
153	adam g dunn	-0.2439	-0.2104	7	6	14	7	162	8.1682	2015.7143	23.1429	1.1669
183	adrian aguilera	0.2461	0.062	2	4	7	3	71	2.9573	2013.6667	23.6667	0.9858
225	ahmed a allam	-1.032	-0.0711	18	1	4	4	153	5.2737	2014.75	38.25	1.3184
280	alan fossa	1.0638	-0.0375	16	7	10	3	34	5.412	2017.3333	11.3333	1.804
298	albert park	0.9648	0.1474	24	4	8	4	49	3.712	2016.5	12.25	0.928
315	alejandro r jadad	0.2862	-0.3345	10	5	8	9	1087	16.6124	2008.3333	120.7778	1.8458
337	alex burdorf	-0.9416	0.2346	5	8	10	4	101	1.946	2012.5	25.25	0.4865
367	alexander horsch	-0.5633	-0.5263	19	2	4	3	76	1.6359	2013.6667	25.3333	0.5453
427	ali m alasadi	-0.3948	-0.0986	7	2	6	4	45	1.438	2014.25	11.25	0.3595
453	alireza ahmadvand	-0.2847	-0.1403	7	3	3	3	2	0.5364	2015.6667	0.6667	0.1788
466	alison l calear	-0.4378	0.0672	9	12	22	6	417	9.5334	2012.1667	69.5	1.5889
488	alla keselman	1.0787	-0.0761	16	2	3	4	114	6.434	2011	28.5	1.6085
527	amael arguel	-0.2475	-0.2332	7	5	12	3	56	1.4343	2013.6667	18.6667	0.4781
530	amanda baker	-0.3155	-0.0955	7	6	11	3	260	3.1582	2010.3333	86.6667	1.0527
545	amanda l graham	0.6296	0.0728	1	10	25	17	505	10.6275	2012.5882	29.7059	0.6251
612	amrutha anand	-0.8877	-0.2013	14	3	5	3	3	0.8045	2018.3333	1	0.2682
694	andre matthias muller	-1.1637	0.59	6	9	16	3	54	8.0697	2017.3333	18	2.6899
703	andrea c villanti	0.6534	0.1023	1	2	4	3	66	3.6937	2015.3333	22	1.2312
774	andrew farmer	1.223	0.394	12	12	20	8	125	14.4548	2017.5	15.625	1.8068
793	andrew mackinnon	-0.4054	0.1482	9	20	54	11	368	17.042	2015	33.4545	1.5493
823	andrzej a kononowicz	0.793	0.2958	8	10	14	3	26	20.6743	2017.3333	8.6667	6.8914
907	anke oenema	-0.9528	0.3086	5	14	31	12	583	10.3374	2012.75	48.5833	0.8614
911	ann blandford	-0.4026	-0.6097	4	1	1	3	12	0.5864	2016.3333	4	0.1955
914	ann desmet	-1.1589	0.6159	6	12	19	3	52	7.9471	2017.3333	17.3333	2.649
942	anna janssen	-0.2256	0.4642	17	3	7	4	25	2.6211	2017.25	6.25	0.6553
960	anna stromberg	-0.5809	0.0321	21	2	3	3	10	0.3453	2017.6667	3.3333	0.1151
963	annacarlotta zarski	-0.6373	0.1452	3	9	17	4	35	4.806	2017.75	8.75	1.2015
987	anne helen hansen	-0.3276	-0.4905	4	4	10	5	8	4.9815	2018.6	1.6	0.9963
1031	annemieke van straten	-0.5465	-0.0226	3	14	24	8	789	11.6155	2011.25	98.625	1.4519
1033	annet kleiboer	-0.5744	-0.0858	3	8	12	4	117	9.4927	2014.5	29.25	2.3732
1052	annie t chen	0.9531	0.1895	24	2	2	4	37	1.5213	2016.75	9.25	0.3803
1054	annie y s lau	-0.2671	-0.2966	7	9	21	8	140	3.016	2013.375	17.5	0.377
1069	anthony bennett	-0.4028	0.0174	9	10	19	4	181	3.2859	2011.75	45.25	0.8215
1072	anthony f jorm	-0.4065	0.2158	9	6	23	5	100	7.9992	2017.4	20	1.5998
